# BUSCO version is: 5.4.2 
# The lineage dataset is: mammalia_odb10 (Creation date: 2021-02-19, number of genomes: 24, number of BUSCOs: 9226)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
100at40674	Missing
167at40674	Fragmented	TRINITY_DN3471_c1_g1_i2:1-5460	2558.7	1539	https://www.orthodb.org/v10?query=167at40674	midasin
198at40674	Missing
250at40674	Missing
255at40674	Missing
256at40674	Complete	TRINITY_DN6252_c0_g1_i1:213-13133	9647.6	4088	https://www.orthodb.org/v10?query=256at40674	prolow-density lipoprotein receptor-related protein 1
279at40674	Complete	TRINITY_DN10342_c0_g1_i1:212-14146	10132.4	4336	https://www.orthodb.org/v10?query=279at40674	cytoplasmic dynein 1 heavy chain 1
281at40674	Duplicated	TRINITY_DN2345_c0_g1_i12:464-15679	9291.4	4365	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
281at40674	Duplicated	TRINITY_DN2345_c0_g1_i14:464-15574	9276.0	4345	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
281at40674	Duplicated	TRINITY_DN2345_c0_g1_i15:464-15427	9240.1	4366	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
281at40674	Duplicated	TRINITY_DN2345_c0_g1_i18:464-15628	9224.0	4366	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
281at40674	Duplicated	TRINITY_DN2345_c0_g1_i23:464-15373	9291.8	4346	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
281at40674	Duplicated	TRINITY_DN2345_c0_g1_i2:464-15322	9224.5	4346	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
281at40674	Duplicated	TRINITY_DN2345_c0_g1_i4:464-15478	9307.3	4366	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
281at40674	Duplicated	TRINITY_DN2345_c0_g1_i5:464-15523	9208.6	4346	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
310at40674	Missing
361at40674	Complete	TRINITY_DN4750_c0_g3_i1:2-11740	7641.3	3530	https://www.orthodb.org/v10?query=361at40674	sacsin
362at40674	Complete	TRINITY_DN7524_c0_g2_i1:537-15044	8718.9	4198	https://www.orthodb.org/v10?query=362at40674	E3 ubiquitin-protein ligase HERC2
424at40674	Missing
425at40674	Duplicated	TRINITY_DN3859_c0_g1_i1:395-14584	9630.0	4279	https://www.orthodb.org/v10?query=425at40674	E3 ubiquitin-protein ligase MYCBP2 isoform X1
425at40674	Duplicated	TRINITY_DN3859_c0_g1_i3:395-14320	9442.7	4243	https://www.orthodb.org/v10?query=425at40674	E3 ubiquitin-protein ligase MYCBP2 isoform X1
475at40674	Duplicated	TRINITY_DN488_c0_g1_i2:1063-15732	9144.1	4171	https://www.orthodb.org/v10?query=475at40674	baculoviral IAP repeat-containing protein 6
475at40674	Duplicated	TRINITY_DN488_c0_g1_i3:1063-15705	9153.3	4171	https://www.orthodb.org/v10?query=475at40674	baculoviral IAP repeat-containing protein 6
475at40674	Duplicated	TRINITY_DN488_c0_g1_i4:1063-15690	9158.1	4171	https://www.orthodb.org/v10?query=475at40674	baculoviral IAP repeat-containing protein 6
475at40674	Duplicated	TRINITY_DN488_c0_g1_i5:1063-15663	9166.6	4171	https://www.orthodb.org/v10?query=475at40674	baculoviral IAP repeat-containing protein 6
514at40674	Missing
530at40674	Complete	TRINITY_DN1424_c0_g2_i1:126-13637	6740.0	3971	https://www.orthodb.org/v10?query=530at40674	apolipoprotein B-100
556at40674	Duplicated	TRINITY_DN1333_c0_g3_i2:4832-19357	9530.1	4329	https://www.orthodb.org/v10?query=556at40674	probable E3 ubiquitin-protein ligase HERC1
556at40674	Duplicated	TRINITY_DN1333_c0_g3_i3:4821-19370	9570.0	4329	https://www.orthodb.org/v10?query=556at40674	probable E3 ubiquitin-protein ligase HERC1
556at40674	Duplicated	TRINITY_DN1333_c0_g3_i6:4832-19381	9570.0	4329	https://www.orthodb.org/v10?query=556at40674	probable E3 ubiquitin-protein ligase HERC1
556at40674	Duplicated	TRINITY_DN1333_c0_g3_i7:4821-19346	9530.1	4329	https://www.orthodb.org/v10?query=556at40674	probable E3 ubiquitin-protein ligase HERC1
565at40674	Missing
584at40674	Missing
587at40674	Duplicated	TRINITY_DN44_c0_g1_i11:74-13219	7881.8	3883	https://www.orthodb.org/v10?query=587at40674	basement membrane-specific heparan sulfate proteoglycan core protein
587at40674	Duplicated	TRINITY_DN44_c0_g1_i12:74-13687	7840.4	3919	https://www.orthodb.org/v10?query=587at40674	basement membrane-specific heparan sulfate proteoglycan core protein
587at40674	Duplicated	TRINITY_DN44_c0_g1_i15:74-13270	7869.0	3881	https://www.orthodb.org/v10?query=587at40674	basement membrane-specific heparan sulfate proteoglycan core protein
587at40674	Duplicated	TRINITY_DN44_c0_g1_i18:74-13705	7833.4	3919	https://www.orthodb.org/v10?query=587at40674	basement membrane-specific heparan sulfate proteoglycan core protein
587at40674	Duplicated	TRINITY_DN44_c0_g1_i19:74-13654	7846.2	3921	https://www.orthodb.org/v10?query=587at40674	basement membrane-specific heparan sulfate proteoglycan core protein
587at40674	Duplicated	TRINITY_DN44_c0_g1_i6:74-13636	7853.2	3921	https://www.orthodb.org/v10?query=587at40674	basement membrane-specific heparan sulfate proteoglycan core protein
594at40674	Missing
626at40674	Duplicated	TRINITY_DN7584_c0_g1_i2:2398-15480	7777.1	3746	https://www.orthodb.org/v10?query=626at40674	Vacuolar protein sorting 13 homolog D
626at40674	Duplicated	TRINITY_DN7584_c0_g1_i4:2398-15480	7777.1	3746	https://www.orthodb.org/v10?query=626at40674	Vacuolar protein sorting 13 homolog D
629at40674	Missing
635at40674	Missing
760at40674	Missing
763at40674	Complete	TRINITY_DN6070_c0_g5_i1:616-11631	7432.7	3349	https://www.orthodb.org/v10?query=763at40674	probable E3 ubiquitin-protein ligase HECTD4
805at40674	Fragmented	TRINITY_DN3885_c0_g3_i1:382-6255	4173.2	1873	https://www.orthodb.org/v10?query=805at40674	extracellular matrix protein FRAS1
848at40674	Missing
854at40674	Fragmented	TRINITY_DN1743_c0_g2_i6:20-8371	4039.7	2546	https://www.orthodb.org/v10?query=854at40674	histone-lysine N-methyltransferase 2D
874at40674	Duplicated	TRINITY_DN2408_c0_g1_i2:142-11763	8676.6	3705	https://www.orthodb.org/v10?query=874at40674	transformation/transcription domain-associated protein
874at40674	Duplicated	TRINITY_DN2408_c0_g1_i5:142-11688	8711.1	3705	https://www.orthodb.org/v10?query=874at40674	transformation/transcription domain-associated protein
889at40674	Missing
890at40674	Duplicated	TRINITY_DN1368_c0_g3_i1:1850-16561	7222.2	3983	https://www.orthodb.org/v10?query=890at40674	histone-lysine N-methyltransferase 2C isoform X1
890at40674	Duplicated	TRINITY_DN1368_c0_g3_i2:1850-16456	7089.1	3983	https://www.orthodb.org/v10?query=890at40674	histone-lysine N-methyltransferase 2C isoform X1
890at40674	Duplicated	TRINITY_DN1368_c0_g3_i5:1850-16066	6997.3	3872	https://www.orthodb.org/v10?query=890at40674	histone-lysine N-methyltransferase 2C isoform X1
890at40674	Duplicated	TRINITY_DN1368_c0_g3_i6:1850-16171	7129.6	3944	https://www.orthodb.org/v10?query=890at40674	histone-lysine N-methyltransferase 2C isoform X1
894at40674	Missing
898at40674	Complete	TRINITY_DN6176_c0_g1_i2:952-13785	6272.5	3478	https://www.orthodb.org/v10?query=898at40674	polycystin-1
937at40674	Duplicated	TRINITY_DN5540_c1_g1_i1:3021-13523	6995.8	3179	https://www.orthodb.org/v10?query=937at40674	WD repeat and FYVE domain containing 3 
937at40674	Duplicated	TRINITY_DN5540_c1_g1_i2:3021-13607	7016.9	3171	https://www.orthodb.org/v10?query=937at40674	WD repeat and FYVE domain containing 3 
937at40674	Duplicated	TRINITY_DN5540_c1_g1_i3:3021-13478	6958.4	3162	https://www.orthodb.org/v10?query=937at40674	WD repeat and FYVE domain containing 3 
937at40674	Duplicated	TRINITY_DN5540_c1_g1_i5:3021-13562	6980.3	3171	https://www.orthodb.org/v10?query=937at40674	WD repeat and FYVE domain containing 3 
943at40674	Missing
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i10:404-13462	8206.9	3814	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i11:404-13534	8249.6	3813	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i13:404-13522	8257.5	3812	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i14:404-13489	8209.4	3813	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i15:404-13405	8128.8	3774	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i20:404-13495	8254.9	3813	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i23:404-13450	8216.1	3813	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i25:404-13360	8090.1	3774	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i27:404-13333	8087.6	3775	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i37:404-13378	8126.2	3775	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i5:404-13507	8245.5	3814	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
950at40674	Duplicated	TRINITY_DN1153_c0_g1_i6:404-13477	8218.8	3812	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
984at40674	Complete	TRINITY_DN1528_c2_g1_i1:336-11312	7906.0	3457	https://www.orthodb.org/v10?query=984at40674	SMG1, nonsense mediated mRNA decay associated PI3K related kinase
1000at40674	Missing
1024at40674	Duplicated	TRINITY_DN12_c0_g1_i10:1114-9534	5985.9	2612	https://www.orthodb.org/v10?query=1024at40674	ubiquitin carboxyl-terminal hydrolase 34 isoform X1
1024at40674	Duplicated	TRINITY_DN12_c0_g1_i17:2205-10625	5985.9	2612	https://www.orthodb.org/v10?query=1024at40674	ubiquitin carboxyl-terminal hydrolase 34 isoform X1
1040at40674	Missing
1066at40674	Missing
1155at40674	Missing
1192at40674	Fragmented	TRINITY_DN3912_c0_g1_i3:1542-9314	3956.6	2055	https://www.orthodb.org/v10?query=1192at40674	protein SZT2
1316at40674	Missing
1323at40674	Missing
1327at40674	Fragmented	TRINITY_DN5406_c0_g5_i1:1-6102	3811.6	1765	https://www.orthodb.org/v10?query=1327at40674	lysosomal-trafficking regulator
1386at40674	Complete	TRINITY_DN1443_c1_g1_i1:2-10327	5480.5	2757	https://www.orthodb.org/v10?query=1386at40674	Histone-lysine N-methyltransferase
1456at40674	Missing
1478at40674	Missing
1499at40674	Fragmented	TRINITY_DN2585_c2_g2_i1:0-5051	3361.8	1579	https://www.orthodb.org/v10?query=1499at40674	Serine-protein kinase ATM
1510at40674	Missing
1577at40674	Duplicated	TRINITY_DN10112_c1_g2_i2:44-10771	6275.9	3142	https://www.orthodb.org/v10?query=1577at40674	Vacuolar protein sorting 13 homolog C
1577at40674	Duplicated	TRINITY_DN10112_c1_g2_i3:44-11158	6338.4	3214	https://www.orthodb.org/v10?query=1577at40674	Vacuolar protein sorting 13 homolog C
1579at40674	Duplicated	TRINITY_DN154_c2_g1_i2:32-8770	5611.7	2502	https://www.orthodb.org/v10?query=1579at40674	neurofibromin
1579at40674	Duplicated	TRINITY_DN154_c2_g1_i6:32-8833	5698.0	2502	https://www.orthodb.org/v10?query=1579at40674	neurofibromin
1590at40674	Duplicated	TRINITY_DN5650_c0_g1_i1:156-9656	5412.5	2766	https://www.orthodb.org/v10?query=1590at40674	vacuolar protein sorting-associated protein 13A isoform X1
1590at40674	Duplicated	TRINITY_DN5650_c0_g1_i3:156-9335	5155.7	2644	https://www.orthodb.org/v10?query=1590at40674	vacuolar protein sorting-associated protein 13A isoform X1
1605at40674	Complete	TRINITY_DN8180_c0_g1_i1:515-10729	5841.3	2905	https://www.orthodb.org/v10?query=1605at40674	Dachsous cadherin-related 1
1660at40674	Missing
1664at40674	Missing
1681at40674	Duplicated	TRINITY_DN1215_c0_g1_i11:463-9495	5042.0	2516	https://www.orthodb.org/v10?query=1681at40674	Dmx like 1
1681at40674	Duplicated	TRINITY_DN1215_c0_g1_i1:468-9678	5109.3	2516	https://www.orthodb.org/v10?query=1681at40674	Dmx like 1
1681at40674	Duplicated	TRINITY_DN1215_c0_g1_i2:463-9672	5106.7	2517	https://www.orthodb.org/v10?query=1681at40674	Dmx like 1
1681at40674	Duplicated	TRINITY_DN1215_c0_g1_i7:463-9609	5041.9	2516	https://www.orthodb.org/v10?query=1681at40674	Dmx like 1
1681at40674	Duplicated	TRINITY_DN1215_c0_g1_i9:463-9495	5042.0	2516	https://www.orthodb.org/v10?query=1681at40674	Dmx like 1
1699at40674	Duplicated	TRINITY_DN657_c0_g1_i1:112-9444	4920.9	2732	https://www.orthodb.org/v10?query=1699at40674	E3 SUMO-protein ligase RanBP2 isoform X1
1699at40674	Duplicated	TRINITY_DN657_c0_g1_i2:112-9483	4929.4	2733	https://www.orthodb.org/v10?query=1699at40674	E3 SUMO-protein ligase RanBP2 isoform X1
1699at40674	Duplicated	TRINITY_DN657_c0_g1_i3:112-9366	4914.5	2687	https://www.orthodb.org/v10?query=1699at40674	E3 SUMO-protein ligase RanBP2 isoform X1
1699at40674	Duplicated	TRINITY_DN657_c0_g1_i4:112-9405	4924.4	2687	https://www.orthodb.org/v10?query=1699at40674	E3 SUMO-protein ligase RanBP2 isoform X1
1720at40674	Duplicated	TRINITY_DN3027_c1_g1_i12:540-9575	5494.2	2554	https://www.orthodb.org/v10?query=1720at40674	protein furry homolog-like isoform X1
1720at40674	Duplicated	TRINITY_DN3027_c1_g1_i3:442-9477	5494.2	2554	https://www.orthodb.org/v10?query=1720at40674	protein furry homolog-like isoform X1
1720at40674	Duplicated	TRINITY_DN3027_c1_g1_i6:442-9495	5498.7	2554	https://www.orthodb.org/v10?query=1720at40674	protein furry homolog-like isoform X1
1720at40674	Duplicated	TRINITY_DN3027_c1_g1_i8:540-9593	5498.7	2554	https://www.orthodb.org/v10?query=1720at40674	protein furry homolog-like isoform X1
1750at40674	Complete	TRINITY_DN3872_c0_g1_i1:122-8560	4985.8	2519	https://www.orthodb.org/v10?query=1750at40674	von Willebrand factor
1759at40674	Duplicated	TRINITY_DN1131_c0_g1_i1:2126-10492	5304.1	2462	https://www.orthodb.org/v10?query=1759at40674	multiple epidermal growth factor-like domains protein 8
1759at40674	Duplicated	TRINITY_DN1131_c0_g1_i2:2137-10503	5304.1	2462	https://www.orthodb.org/v10?query=1759at40674	multiple epidermal growth factor-like domains protein 8
1759at40674	Duplicated	TRINITY_DN1131_c0_g1_i3:2154-10520	5304.1	2462	https://www.orthodb.org/v10?query=1759at40674	multiple epidermal growth factor-like domains protein 8
1759at40674	Duplicated	TRINITY_DN1131_c0_g1_i4:2165-10531	5304.1	2462	https://www.orthodb.org/v10?query=1759at40674	multiple epidermal growth factor-like domains protein 8
1759at40674	Duplicated	TRINITY_DN1131_c0_g1_i5:2103-10469	5304.1	2462	https://www.orthodb.org/v10?query=1759at40674	multiple epidermal growth factor-like domains protein 8
1759at40674	Duplicated	TRINITY_DN1131_c0_g1_i6:2193-10559	5304.1	2462	https://www.orthodb.org/v10?query=1759at40674	multiple epidermal growth factor-like domains protein 8
1759at40674	Duplicated	TRINITY_DN1131_c0_g1_i7:2075-10441	5304.1	2462	https://www.orthodb.org/v10?query=1759at40674	multiple epidermal growth factor-like domains protein 8
1759at40674	Duplicated	TRINITY_DN1131_c0_g1_i8:2165-10531	5304.1	2462	https://www.orthodb.org/v10?query=1759at40674	multiple epidermal growth factor-like domains protein 8
1763at40674	Missing
1869at40674	Duplicated	TRINITY_DN1692_c0_g1_i1:105-8999	5109.6	2461	https://www.orthodb.org/v10?query=1869at40674	zinc finger ZZ-type and EF-hand domain containing 1 
1869at40674	Duplicated	TRINITY_DN1692_c0_g1_i2:105-8999	5109.6	2461	https://www.orthodb.org/v10?query=1869at40674	zinc finger ZZ-type and EF-hand domain containing 1 
1869at40674	Duplicated	TRINITY_DN1692_c0_g1_i4:105-9108	5109.6	2461	https://www.orthodb.org/v10?query=1869at40674	zinc finger ZZ-type and EF-hand domain containing 1 
1869at40674	Duplicated	TRINITY_DN1692_c0_g1_i5:105-9108	5109.6	2461	https://www.orthodb.org/v10?query=1869at40674	zinc finger ZZ-type and EF-hand domain containing 1 
1900at40674	Duplicated	TRINITY_DN2067_c0_g1_i10:269-7063	3624.9	1873	https://www.orthodb.org/v10?query=1900at40674	Nuclear receptor binding SET domain protein 1
1900at40674	Duplicated	TRINITY_DN2067_c0_g1_i17:249-8303	4022.0	2233	https://www.orthodb.org/v10?query=1900at40674	Nuclear receptor binding SET domain protein 1
1900at40674	Duplicated	TRINITY_DN2067_c0_g1_i18:269-7063	3624.9	1873	https://www.orthodb.org/v10?query=1900at40674	Nuclear receptor binding SET domain protein 1
1900at40674	Duplicated	TRINITY_DN2067_c0_g1_i21:249-7043	3624.9	1873	https://www.orthodb.org/v10?query=1900at40674	Nuclear receptor binding SET domain protein 1
1900at40674	Duplicated	TRINITY_DN2067_c0_g1_i22:269-8323	4022.0	2233	https://www.orthodb.org/v10?query=1900at40674	Nuclear receptor binding SET domain protein 1
1900at40674	Duplicated	TRINITY_DN2067_c0_g1_i4:249-8303	4022.0	2233	https://www.orthodb.org/v10?query=1900at40674	Nuclear receptor binding SET domain protein 1
1900at40674	Duplicated	TRINITY_DN2067_c0_g1_i5:249-7043	3624.9	1873	https://www.orthodb.org/v10?query=1900at40674	Nuclear receptor binding SET domain protein 1
1900at40674	Duplicated	TRINITY_DN2067_c0_g1_i9:269-8323	4022.0	2233	https://www.orthodb.org/v10?query=1900at40674	Nuclear receptor binding SET domain protein 1
2052at40674	Duplicated	TRINITY_DN11237_c0_g1_i2:955-11805	5354.6	3053	https://www.orthodb.org/v10?query=2052at40674	Spen family transcriptional repressor
2052at40674	Duplicated	TRINITY_DN11237_c0_g1_i7:955-11805	5354.6	3053	https://www.orthodb.org/v10?query=2052at40674	Spen family transcriptional repressor
2052at40674	Duplicated	TRINITY_DN11237_c0_g1_i8:955-11805	5354.6	3053	https://www.orthodb.org/v10?query=2052at40674	Spen family transcriptional repressor
2052at40674	Duplicated	TRINITY_DN11237_c0_g1_i9:955-11805	5354.6	3053	https://www.orthodb.org/v10?query=2052at40674	Spen family transcriptional repressor
