# BUSCO version is: 5.4.2 
# The lineage dataset is: mammalia_odb10 (Creation date: 2021-02-19, number of genomes: 24, number of BUSCOs: 9226)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
100at40674	Missing
167at40674	Complete	TRINITY_DN38920_c0_g2_i1:113-16882	9252.5	4891	https://www.orthodb.org/v10?query=167at40674	midasin
198at40674	Missing
250at40674	Missing
255at40674	Missing
256at40674	Complete	TRINITY_DN39034_c1_g1_i2:797-14428	9960.8	4263	https://www.orthodb.org/v10?query=256at40674	prolow-density lipoprotein receptor-related protein 1
279at40674	Complete	TRINITY_DN38864_c0_g1_i1:258-14195	10132.3	4336	https://www.orthodb.org/v10?query=279at40674	cytoplasmic dynein 1 heavy chain 1
281at40674	Duplicated	TRINITY_DN38532_c0_g2_i2:481-14385	8460.3	4056	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
281at40674	Duplicated	TRINITY_DN38532_c0_g2_i5:481-13023	7620.1	3645	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
281at40674	Duplicated	TRINITY_DN38532_c0_g2_i6:481-12972	7552.9	3645	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
281at40674	Duplicated	TRINITY_DN38532_c0_g2_i7:481-14436	8527.8	4057	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
310at40674	Fragmented	TRINITY_DN37097_c3_g1_i1:304-3957	2439.3	1164	https://www.orthodb.org/v10?query=310at40674	hydrocephalus-inducing protein homolog
361at40674	Complete	TRINITY_DN39287_c1_g1_i2:290-14050	8238.7	3901	https://www.orthodb.org/v10?query=361at40674	sacsin
362at40674	Duplicated	TRINITY_DN38252_c0_g1_i2:543-15050	8719.7	4198	https://www.orthodb.org/v10?query=362at40674	E3 ubiquitin-protein ligase HERC2
362at40674	Duplicated	TRINITY_DN38252_c0_g1_i3:545-15052	8719.7	4198	https://www.orthodb.org/v10?query=362at40674	E3 ubiquitin-protein ligase HERC2
424at40674	Missing
425at40674	Duplicated	TRINITY_DN38921_c1_g1_i1:715-14895	9626.5	4276	https://www.orthodb.org/v10?query=425at40674	E3 ubiquitin-protein ligase MYCBP2 isoform X1
425at40674	Duplicated	TRINITY_DN38921_c1_g1_i2:715-14892	9617.4	4275	https://www.orthodb.org/v10?query=425at40674	E3 ubiquitin-protein ligase MYCBP2 isoform X1
425at40674	Duplicated	TRINITY_DN38921_c1_g1_i3:715-14787	9506.3	4276	https://www.orthodb.org/v10?query=425at40674	E3 ubiquitin-protein ligase MYCBP2 isoform X1
